,text,hashtags_count,users_tagged,numeric,avg_word_len,word_count
52,ramal plural vanishes from the face of the earth this year plural covid19 filing from the face of the earth this year to date over 83 million positive covid19 cases have been reported worldwide with nearly 2 million deaths reported its a very big and s,0,0,2,4.5,46
53,day one we went through 2020 which was full of custody furthermore many covid19 educator situations limit movement and relationships but allah tests only for his servants who can affor,0,0,2,5.166666666666667,30
54,pendapat covid19 we have yet to win the new year 2021 is full of httpsselangorkinimy202101covid19kitamasihbelummenangtahunbaharu2021penuhcab,2,0,1,8.4,15
55,not good enough malaysians fauci amp epidemiologists are now saying we need around 85 vaccination to achieve covid19 herd immunity âœthe transmissible a pathogen the more people must be immune in order to stop itâ httpsnytimescom20201224healthherdimmunitycovidcoronavirushtmlâquote tweet noor hisham abdullah dghisham â dec 31 2020 thanks to 212006 malaysians who participated in the vaccine survey accept or reject it is conducted online from 21  28 december 2020 67 of respondents agreed to receive the covid19 vaccine 17 uncertain  16 d,1,1,3,5.725,82
56,"covid19 
dghisham
 says vulnerable groups must continue to be protected moh will improve the control of noncommunicable diseases such as diabetes and high blood pressure through the 
pekab40
 programme

httpsmalaymailcomnewsmalaysia20210101covid19drnoorhishamsaysvulnerablegroupsmustcontinuetobeprotecte1936388â
kkmputrajayacovid19 dr noor hisham says vulnerable groups must continue to be protected  malay mail
kuala lumpur jan 1 â the ministry of health moh hopes that the community will continue to play a role in protecting the vulnerable in the fight against covid19 in 20",0,3,1,6.626666666666667,73
57,"as we begin 2021 test test test continues to be the call in addressing covid19 

âœwe need to do at least 100000 antigen tests per day for community screening and reserve pcr for symptomatic admissionsâquote tweet
boo sulyn
boosulyn
 â 7h
where is malaysia headed with covid19  dr amarsingh hss 

stop putting the entire blame on the public for the failure to control the pandemic it is time to stop fining and arresting the average citizen for sop violations  dramarmoh 

httpscodebluegalencentreorg20210101whereisma",1,2,0,5.283950617283951,80
58,dr m  lge will do a better job fighting covid19 helming top job in who in geneva they t,0,0,0,3.5789473684210527,20
59,replying to lagacawan and and muhyiddinyassininisiatif is carried out for a period of one year only from 1 april 2019 to 31 march 2020 however with the concern of ktmb the initiative was extended until december 31 2020 to ease the living burden of the people affected,0,2,4,4.702127659574468,47
60,replying to qwertyqwerta2inisiatif year is carried out for a period of one year only from 1 april 2019 to 31 march 2020 however with the concern of ktmb the initiative was extended until december 31 2020 to ease the living burden of the people affected,0,1,4,4.622222222222222,45
61,"china approves sinopharm covid19 vaccine for general usechina approves sinopharm covid19 vaccine for general use
rollout to begin âsoonâ but about a million have already received injection un",0,0,0,5.857142857142857,27
62,disk throw muhammad irfan shamsuddin became the countrys sec,0,0,0,5.777777777777778,9
63,selangor journal  go for free covid19 screening mb tells klang residents httpsselangorjournalmy202101goforfreecovid19screeningmbtellsklangresid,0,0,0,10.916666666666666,13
64,see further discussion on covid19 vaccine medical guidelines with directors disease control division ministry of health malaysia ybhg datuk dr norhayati directly at bicaranaratif at 900p,2,0,0,6.1923076923076925,26
65,"will there even be a malaysia left  at the rate incompetent muhyiddin  co are bungling covid19  even as convicted najib the man with the most selfinterests urges umno delegates to speak up on future direction  sad to say its no longer about will there even be a malaysia left  at the rate incompetent muhyiddin  co are bungling covid19 
where is malaysia headed with covid19 this past year has been an emotional financial and medical âœrollercoaster rideâ for all in malaysia 2020 has brought much anguish des",0,0,1,4.848837209302325,92
66,"where is 
 headed with covid19

good summary of our covid journey thus far while thereve been successes theres also been missteps blind spots incoordination  lack of strategic planning 
good time to review  take stock as we move into 2021where is malaysia headed with covid19
changes in outlook and behaviour needed for the country to have a",0,0,0,5.0,57
67,covid19 moh hopes vulnerable people continue to be protected â dr noor hisham httpsselangorkinimy202101covid19kkmharapgolo,0,0,0,7.785714285714286,14
68,normabaha,5,0,0,9.0,1
69,employees and employers play an important role in casting covid19 infection heres how close contact case management is 1 amp 2 as well as the role of employers in stemming the spread of covid19 infection in the workplace janganle,3,0,2,4.897435897435898,39
70,yesterday for the first time since 63 years the whole country is quiet quiet there is a hidden wis,2,0,1,4.2105263157894735,19
71,covid19 vaccination covid19 vaccine  najiha online the covid19 vaccine will be provided free of charge to malaysians while foreigners will be charged by the ministry of health malaysia moh according,0,0,0,5.6,31
72,"soccerchelsea confirm 325 million pound profit despite covid19 hit on revenue
httpsthestarcommysportfootball20210101soccerchelseaconfirm325millionpoundprofitdespitecovid19hitonrevenueâsoccerchelsea confirm 325 million pound profit despite covid19 hit on revenue
reuters  chelsea recorded a profit of 325 million pounds 4444 million in the last financial year despite the economic impact of the covid19 pandemic the",0,0,0,7.808510638297872,46
73,"it was a subdued new yearâs eve for the country as malaysians continue to hope and wait for the vaccine to end their year of covid19 woesa muted new yearâs countdown
petaling jaya it was a subdued new yearâs eve for the country as malaysians continue to hope and wait for the vaccine to end t",0,0,0,4.232142857142857,55
74,"malaysia reported a record high 2525 covid19 cases on the last day of 20202525 infections reported
petaling jaya malaysia reported a record high 2525 covid19 cases on the last day of 2020 bringing the total number of cases",0,0,0,4.868421052631579,37
75,five years ago probably the worst day of my life but everything happens for a reasonthank god everything that i have achieved 2020 has been great despite covid 19 manage to finish my studies and secured a permanent job hopefully 2,0,0,2,4.634146341463414,41
76,as usual companies are more interested in making profits than making sure the people feel safe airasia full flight seats before covid19 times already had very close passengers to each other time covid19,0,1,0,5.151515151515151,33
77,highlights 2020 covid19 changed the world httpsselangorkinimy202101sorotan2020covid19ubahragamd,1,0,0,12.714285714285714,7
78,"replying to 
repmaxinewaters
 and 
iamyuneekto all those who lost a family member relative or friend because of covid19 my deepest sympathies you are not alone we are here with you we shall stand up in the face of adversity and regain our confidence streng",0,2,0,4.7727272727272725,44
79,"replying to 
netrakl
 and 
drasinghras well as the hundreds perhaps more who have recovered from covid19 but who are still struggling with some of its devastating after effects i pray they  their families will be resolute with their rehabilitation  be",0,2,0,5.175,42
80,pms special message in conjunction with new year 2021 free covid19 for the people mknjpm pkpb kitateguhk,5,1,0,5.176470588235294,17
81,hopefully this new year gives us all the covid19 koronaviruskes daily positive offices recorded on the last day of 2020 uish hopefully 2021 becom,2,0,2,5.083333333333333,24
82,awarding of covid19 in the country is expected to begin fluctile this february priority to staff at the forefront followed by high risk groups such as senior citizens and chronic patients and the general publ,1,0,0,4.9714285714285715,35
83,wishing everyone a very happy pro,0,0,0,4.666666666666667,6
84,happy new year 2021 wish you all the best for upcoming year  let us all,1,0,0,3.7333333333333334,16
85,klang record highest covid19 three consecutive httpsselangorkinimy202101klangrekodkescovid19tertinggitigahariberturututms,1,0,0,16.428571428571427,7
86,"after a forgettable 2020 no thanks to covid19 the economic downturn and political instability malaysians are hoping for a better and brighter 2021 while being mindful that the fight against the coronavirus is far from over httpstwentytwo13myissuesmalaysianshopetoemergestrongerandfreerafterthedarknessof2020â
hello2021 happynewyear2021malaysians hope to emerge stronger and freer after the darkness of 2020  twentytwo13
after a forgettable 2020 no thanks to covid19 the economic downturn and political instability malaysians are hoping for a better and brighter 2021 while being mindful th",3,0,5,6.551282051282051,77
87,"macron pledges no unjustifiable delays in covid19 jabsmacron pledges no unjustifiable delays in covid19 jabs
criticism grows over slow pace of fr",0,0,0,5.636363636363637,21
88,latest status in the country record the highest case figures onenews covid19 httpsinst,2,0,0,5.6923076923076925,13
89,"repost 
onenewsonline
break",1,1,0,8.0,2
90,the first time that contagious clusters involve prisons or operating brackuring centres kdnputrajaya  in kedah lahad datu apply dhzhamzah concentration evades covid19 such a recriverse scratch this top priority bkn work2 politics for muhyiddinyassin kitajagakitaquote tweet voicetv suaratv â dec 30 2020 âœ increase in cases in johor due to prisonrelated clusters namely choh wall cluster which reported 374 cases 1870 new covid19 infections johor record highest daily case httpssuaratv301220201870jangkitanbarucovid19joho,2,5,2,6.457142857142857,71
91,most frequently used words due to covid19 httpsmalaysianowcomberita202012315perkataanpalingkerapdigunadisebabkancovid19â via mnownews5 most frequently used words due to covid19 2020 hears us with frequently mentioned terms throughout the year so that it becomes part of the daily conv,0,1,1,6.916666666666667,36
92,if org tu healthy is not de any disease but because hes tired he could be infec,0,0,0,3.7058823529411766,17
93,"covid19 vulnerable groups must continue to be protected â dr noor hishamcovid19 vulnerable groups must continue to be protected â dr noor hisham
kuala lumpur the ministry of health moh hopes that the community will continue to play a role in protecting the vulnerable",0,0,0,5.090909090909091,43
94,government priorities in 2021 the countrys recovery drive postcovid19 onenewslima government priorities in 2021 the countrys recovery drive postcovid19  onenews the prime minister outlined five government priorities in 2021 in an effort to revive the postcovid19 country clearly tan sri muhyiddin yassin last,1,0,1,6.162790697674419,44
95,"news pm lee economically singapore begins to see signs of stabilisation amid covid19 
leehsienloong
httpsbernamacomenbusinessnewsphpid1917498x5wikhiqjitwitterâquote tweet
leehsienloong
leehsienloong
 â 20h
happynewyear everyone i hope 2021 will bring better times but letâs stay vigilant and be ready for surprises whateverâs in store in the year ahead we can look forward with co",1,2,1,6.431372549019608,47
96,to zukialiterima to all civil servants especially the frontliners of kkm pdrm atm determination of,0,1,0,5.6,15
97,"imperial college london the new covid19 b117 variant is  transmissible than other variants affecting a greater proportion of those  20s
it has transmission advantage of 0407 in reproduction no compared to current strain
more reason to 
 sopnew covid19 variant growing rapidly in england  imperial news  imperial college london
new covid19 strain  the new sarscov2 variant is growing rapidly is more transmissible than other variants and affecting a greate",0,0,0,5.602941176470588,71
98,statistics of covid19 until 31 december 2020 together we stem the spread of covid19 by following the advice and directions of mkn and moh take care of the alignment and reduce facetoface interactions dosm banci2020,5,0,1,5.142857142857143,35
99,"happy new year 
 

how i miss life before covid 19
newyear",4,0,1,4.0,11
100,no new year celebration,0,0,0,5.0,4
101,"fake covid19 result scam
httpsthestarcommynewsnation20210101fakecovid19resultscamâfake covid19 result scam
johor baru as the covid19 spotlight is now on foreign workers nationwide some foreigners have resorted to buying fake negative covid19 swab test resu",0,0,0,7.03125,30
102,"ipoh folk hopeful of a better year ahead free of covid19
httpsthestarcommynewsnation20210101ipohfolkhopefulofabetteryearaheadfreeofcovid19âipoh folk hopeful of a better year ahead free of covid19
ipoh a country and world free of covid19 was on top of everyoneâs w",0,0,0,6.333333333333333,34
103,year with covid 19 thank you to our familys covid kpd contributing especially the government of sbb still does not ape2 actions with important economic grounds while life falls no,0,0,1,5.0,30
104,zulsulong zunarkartunis drwanazizah drdzul nizzah khalidsamad msabuofficial mujahidrawa hjhusammusa syahredzan senior officer of mca positive service centre covid19 â malaysia datelinepegawai senior mca service centre positive covid19 the mca headquarters service and complaints centre was closed after a senior official confirmed positive covid19 according to the mca headquarters statement after obtaining the info,0,10,0,6.867924528301887,53
105,approximately 540 am receiving fumes the brothers disappeared even though they were close to their sbb covid19 al fatihah pak busu hopefully i my family meaning and son2 are strong in facing this test 2020 missing father 2,0,0,2,4.868421052631579,38
106,"interactive heres how covid19 changed the movement of people in malaysia
httpsthestarcommynewsnation20210101interactivehereshowcovid19changedthemovementofpeopleinmalaysiaâinteractive hereâs how covid19 changed the movement of people in malaysia
ever since the start of the conditional movement control order in may 2020 the amount of time malaysians spent at home has mostly been on a downward trend even as covid19",0,0,0,6.849056603773585,51
107,this new year hopefully each of us rises with a new spirit for the challenges ahead and hopefully the covid19 outbreak is subsidising we from the warrior fund campaign wish you a happy new year 2021 to all mala,2,0,1,4.410256410256411,39
108,"covid19 numbers 31 december 2020
 2525 new cases 2512 local transmissions and 13 imported cases
 1481 recoveries
 23598 active cases
 8 death 471 in total in malaysia since the pandemic began
 131 patients in icu including 60wh",3,0,7,5.027027027027027,37
109,"my favourite 10 mind numbing research repositories on covid19

10 
thelonevirologi
9 
scottgottliebmd
8  
hendrikstreeck
7 
nextstrain
 
6 
neilferguson
 
5 
drmikeryan
4 
thelancet
 
3 
cepi",0,10,1,6.04,21
110,new year everyone new years moga is better than last year hopefully simplify all your dealings may all of us get healthy and prosperous may we win the end of covid 19 httpsinstag,0,0,0,4.424242424242424,33
111,am sure allah will definitely be for greater sustenance and blessings he is allknowing of everything what hope is 2021 covid19 disap,0,0,0,5.045454545454546,22
112,covid19 is indeed the right test but there are people assuming this test is burdensome amp troublesome and there are people who are assuming it is to increase faith in order to find god back may al,0,0,0,4.351351351351352,37
113,the brother is ready to speak near the bah nothing bang things are just a short time away be patient soon to be free of us from covid19 ni by the way he is an indian he knows the heart and feelings want to make a story theres a ne,0,0,0,3.62,50
114,in my worry2 apparently they are also worried about the ready family remind do not return the village before this i do not understand why i reached the verse covid19 patients bkn criminals when i got to understand some understand tu ok je he says nothing patiently th,0,0,1,4.583333333333333,48
115,pun bkn criminals close contact just want a story to luah kt here want to make ass bitter memories to sweet okay early in 12 days we were 1 family surprised by the news we certified positive covid1,0,0,2,4.2105263157894735,38
116,"my top 10 go to institutionsadministrations for news on covid19

10 
worldometers

9 
cdcgov

8 
kkmputrajaya

7 
who

6 
govsingapore

5 
washingtonpost

4 
johnshopkinssph

3 
financial",0,10,1,5.615384615384615,18
117,streamates sop opening fifth phase of the sports and recreation sector httpsbernamacombmsukannewsphpid1,2,2,0,7.666666666666667,12
118,replying to redzuannewsmpb and and anthraxxxxmknjpm  we know its difficult balancing on needs to mitigate covid19 spreads and some semblance of a normal life but but surely travel into a red zone is not,0,2,0,4.9411764705882355,35
119,many 2020 years most expected of all people with the present of covid 19 disease plus the disappearance of a father who did not replace it 2021 stepped into an 8year si,0,0,3,4.28125,32
120,trooper star wars holds a mini banner goodbye covid19 welcome 2021 at the new years threshold celebration at the saraw,1,0,1,4.95,20
121,"vaccinated us nurse contracts covid19 expert says pfizer shot needed more time to work  abccalifornia nurse tests positive over a week after receiving pfizer covid19 vaccine abc
reuters  a 45yearold nurse in california tested positive for covid19 more than a week after receiving pfizer incs coronavirus vaccine an abc news affiliate repo",0,0,0,5.480769230769231,53
122,happy new year 2021  hopefully this new year we are better prepared for the trials amp challenges that will come same2 we pray covid19 passed away kitajagakita hap,3,0,2,4.821428571428571,29
123,this covid19 pandemic is immediately,4,0,0,6.4,5
124,"my top reporters on covid19 in 2020

10 
apoorvanyc

9 
amymaxmen

8 
katieengelhart

7 
lizziepresser

6 
jessicalustig

5 
drsanjaygupta

4 
helenbranswell

3",0,10,0,5.636363636363637,14
125,hopefully the presence of the new year 2021 gives us radiation and inspiration that drives us towards a better quality start the new year with the new norm together we disconnect the covid19 chain newy,1,0,2,4.771428571428571,35
126,may this new year put an end to all the sufferings due to covid19 and fill our lives with goodness and happiness a very happy new,1,0,1,4.0,26
127,adn kinraras focus on the affected people of covid19 httpsselangortvmyfokusadnkinraratumpurakyatterjejascov,0,0,0,9.8,10
128,"byeee 2020 
 in the same time covid19 can byeeee too

 






sportwear from 
almightee
my httpsinstag",0,1,1,5.066666666666666,15
129,rise up a new spirit keep fighting against covid 19 going forward my malaysia happynewyear realestateagent httpsinsta,2,0,0,5.9411764705882355,17
130,"my top 10 wonder women of 2020 hell bent on demolishing covid19in no particular order

1 
angierasmussen
 
2 
virusesimmunity
 
3 
kizzyphd

4 
cmyeaton
 
5 
saskiapopescu
 
6 
drjengunter
 
7 
doctorsoumya
 
8",0,10,2,5.333333333333333,28
131,"full video
httpsyoutubecm7fzi4s9e0

covid19 
coro",5,0,0,8.6,3
132,covid19 the way the world is doing why didnt ma,1,0,0,3.8,10
133,given good health extended age simplified all the dealings of the world and the hereafter happy new year 2021 may we all be distan,0,0,0,4.458333333333333,24
134,"malaysia ends year with record high of 2525 new covid19 cases 
httpthetruenetcomnewsmalaysiaendsyearwithrecordhighof2525newcovid19casesâ via 
thetruenet
thetruenet newscurator news truenews instanews socialmedia reporting contents viral media public people justice reputation integrity 
stayhome
 staysafemalaysia ends year with record high of 2525 new covid19 cases â the true net
malaysia ends the year with a daily covid19 record of 2525 infections in the past 24 hours just five days",17,1,1,6.446153846153846,63
135,"bernamanews ukraine maintains bilateral trade momentum with malaysia despite covid19ukraine maintains bilateral trade momentum with malaysia despite
bernamanews ukraine has maintained the momentum of its bilateral trade with malaysia throughout 2020 despite the gl",2,0,1,6.794117647058823,33
136,covid19,0,0,0,7.0,1
137,latest status covid19 31 dec 2020 cured cases1481 total cured cases88941 cases new cases positive2525 cases 2512 local 13 imports total positive113010 cases death case8 total death cases471 cases cases treated in,1,0,3,5.65625,32
138,follow the highlights of covid19 with moh in preparedness and curbing the spread of covid19 infection in the country by tan sri kp kkm dghisham kkmputrajaya and also chairman of protecthealth corporation sdn bhd watch on covid19 in the 2020 from the director general of health the year 2020 is a very challenging covid19 virus pandemic to the rest of the world this virus has had a profound impact and malaysians are also no exception,0,2,2,4.8,75
139,"mca public services and complaints department head datuk seri michael chong has tested positive with covid19 and is currently selfisolating at home

read",2,0,0,5.6521739130434785,22
140,"startv reconnected with former covid19 patients  chester chang chin nam aiza syafinaz and reza huzairi  to see how their lives have changed after recovering from the coronavirusformer patients share how covid19 has impacted their lives
we reconnected with former covid19 patients  chester chang chin nam aiza syafinaz and reza huzairi  to see how their lives hav",1,0,0,5.410714285714286,59
141,buletinbernama ydp agong the countrys prayer queen recovered from the covid19ydp agong pandemic the countrys prayer queen recovered from the covid19 pandemic buletinbernama yang dipertuan agong alsultan abdullah riayatuddin almustafa billah shah and raja permaisuri agong,2,0,0,6.555555555555555,36
142,covid19 pity frontliners obey sop httpsfacebookco,0,0,0,7.333333333333333,6
143,buletinbernama covid19 the highest new daily case in malaysiacovid19 the highest new daily case in malaysia buletinbernama malaysia recorded the highest new daily case on the last day of 2020 when notching 2525 cases making the tota,2,0,0,5.297297297297297,37
144,"just realised that todays covid19 new cases in malaysia was brought to you by pizza hut  2525

anyone still remember the j",0,0,0,4.5,22
145,146 employees public market dealers banting under screening covid19 httpsselangorkinimy202012146pekerjapeniagapasarawambantingjalanisaringancov,1,0,1,13.4,10
146,happy new year may azam pd 2021 become and no longer fail like 2020 may the covid19 chain be disconnected and we are all protected from dangerous infectious diseases be a useful person of t,0,0,1,4.428571428571429,35
147,year 2020 almost disabled the curtain plenty of likes and duka this year although the rest of the world needs to combat the covid19 virus there are still sweet memories of 202,0,0,2,4.5,32
148,"hello 2021 please be nice 
hello covid19 please begone 
cif19 hshshsh  kuala lumpur malaysia httpsinstagramcompcjdwbpohdb0327ubqqh",1,1,1,7.533333333333333,16
149,the year 2020 is a very challenging and difficult covid19 virus pandemic worldwide this virus has had a profound impact amp malaysians are also no exception moh is sedetic in moh preparedness and actions watch on covid19 in the 2020 from the director general of health the year 2020 is a very challenging covid19 virus pandemic to the rest of the world this virus has had a profound impact and malaysians are also no exception,0,0,3,4.693333333333333,75
150,priorities for the integrated strategy of postcovid19 national recovery says pm5 priorities integrated strategy of postcovid19 national recovery says pm  the malaysian insight muhyiddin yassin said the move to restore the situation in malaysia as s,0,0,0,5.888888888888889,37
151,health directorgeneral tan sri dr noor hisham abdullah on thursday advised the public to follow the health guidelines and stay home if possible to curb the spread of covid19 as the n,2,0,0,4.71875,32
152,of covid19 throughout 2020 from the director general of healthsorotan covid19 during the 2020 period from the director general of health the year 2020 is a very challenging cov,0,0,3,5.103448275862069,29
153,pm five priorities integrated strategy of postnational covid19 httpsbernamaco,1,1,0,7.666666666666667,9
154,avoid 3s is the most effective vaccine to curb the spread of covid19 continue to obey the sop and practice selfcontrol take care of yourself and your family pkpb kitateguhk,5,0,0,4.766666666666667,30
