,text,hashtags_count
17,Ministry of Health effects 3 new clusters of Covid-19 Health Agency Effects 3 new clusters of Covid-19 | The Malaysian Insight Health Director General Dr Noor Hisham said two of the three clusters were associated with the workplace. themalaysianinsight.com,0
18,"Watch the COVID-19 vaccine: MEDICAL GUIDELINES with the Director, Disease Control Division, Ministry of Health Malaysia, YBhg Datuk Dr. Norhayati Binti Rusli directly on #BicaraNaratif at 9.00 pm this evening on TV1.",1
19,#COVID19Malaysia : 14-day movement of COVID-19 cases by parliament in Kuala Lumpur &amp; Putrajaya (19 December 2020 to 1 January 2021) #KualaLumpur #Putrajaya #JanganLekaDanAlpa #KitaJagaKita #KitaMestiMenang #NormaBaharu #COVID19 #coronavirus #KLCeria #CMSWPKLKKMM and 2 others,11
20,"Covid-19: Meradong in Sarawak now a yellow zone with three locally transmitted cases
https://thestar.com.my/news/nation/2021/01/01/covid-19-meradong-in-sarawak-now-a-yellow-zone-with-three-locally-transmitted-casesâ€¦Covid-19: Meradong in Sarawak now a yellow zone with three locally transmitted cases
KUCHING: Meradong in central Sarawak is now a yellow zone after three locally transmitted Covid-19 cases were reported in the district on Friday (Jan 1), says the state disaster management committee.
thestar.com.my",0
21,"DAILY SNAPSHOT: Total Cases crossed the 1.53 million mark at 7:00 pm with over 13,100 cases reported across the region since our last update.

#TheASEANPost #ASEAN #PrayForASEAN #PrayForTheWorld #COVID19 #CoronaVirusOutbreak #CoronaVirus #Corona #StayHome
 #Quarantine #Lockdown",11
22,"2,068 new Covid-19 cases and 4 deaths in Malaysia,068 new Covid-19 cases and 4 deaths in Malaysia
Covid-19 recoveries, however, outpace fresh infections
thevibes.com",0
23,"2,068 new Covid-19 cases and 4 deaths in Malaysia,068 new Covid-19 cases and 4 deaths in Malaysia
Covid-19 recoveries, however, outpace fresh infections
thevibes.com",0
24,"The latest Covid-19 situation as at 1 January 2021. New cases: 2,068 Active cases: 23,433 Cured: 91,171 ( 2,230 new cured cases) Overall cases: 115,078 Death: 474 (3 new death cases reported) @KKMPutrajaya",0
25,"Covid-19: 2,068 new cases, three fatalities bring death toll to 474
https://thestar.com.my/news/nation/2021/01/01/covid-19-2068-new-cases-three-fatalities-bring-death-toll-to-474â€¦Covid-19: 2,068 new cases, three fatalities bring death toll to 474
PETALING JAYA: Malaysia recorded 2,068 more Covid-19 infections on New Year's Day on Friday (Jan 1), taking the country total confirmed cases to 115,078.
thestar.com.my",0
26,"3 new Covid-19 clusters in 4 states !!!
@ahkmlog
 @ahpooki
 @aidamohdhanif
 @ayg16
 @cheong_desmond
 @devilishram
 @geanalyst
 @imfsea_aruna
 @lowelsielow
 @mary_soh
 @mikichoo
 @mtusharan
 @nonvitaltooth
 @normsaid
 @prabdullah
 @skumar176
 @yvonneapy
 @zulmah56
 @zuln093 new Covid-19 clusters in 4 states
They are the Rawa Akasia, Jalan Perindustrian and Rantau Semarak clusters.
freemalaysiatoday.com",0
27,#COVID19: Three new clusters detected and four existing clusters declared expire today - KP Health,1
28,"2,068 Covid-19 cases, 3 deaths !!!
@ahkmlog
 @ahpooki
 @aidamohdhanif
 @ayg16
 @cheong_desmond
 @devilishram
 @geanalyst
 @imfsea_aruna
 @lowelsielow
 @mary_soh
 @mikichoo
 @mtusharan
 @nonvitaltooth
 @normsaid
 @prabdullah
 @skumar176
 @yvonneapy
 @zulmah56
 @zuln092,068 Covid-19 cases, 3 deaths
A total of 2,230 patients recovered.
freemalaysiatoday.com",0
29,"#COVID-19: 2,068 new cases and three deaths reported today - KP Health @DGHisham",1
30,#COVID-19: 126 positive cases treated in ICU with 54 cases requiring breathing aids - KP Health @DGHisham,1
31,"#COVID-19: 2,230 cases cured, cumulative number of cases cured 91,171 cases - KP Health @DGHisham",1
32,"The latest situation on January 1, 2021 #COVID19 in Malaysia : A total of 2,068 new cases made a total of 115,078 cases. https://facebook.com/1452870318149203/posts/3042921695810716/â€¦",1
33,"Latest Status #COVID19, 1 January 2021 Cured case=2,230 Total cured cases=91,171 cases New case positive=2,068 cases (2,066 local, 2 imports) Total positive=115,078 cases Death case=3 Total death cases=474 cases Cases treated in ICU=126 cases Respiratory Help=54 casesQuote Tweet KKMalaysia @KKMPutrajaya Â· 2h Latest Status #COVID19, 1 January 2021 Cured case=2,230 Total cured cases=91,171 cases New case positive=2,068 cases (2,066 local, 2 imports) Total positive=115,078 cases Death case=3 Total death cases=474 cases Cases treated in ICU=126 cases Respiratory Help=54 cases",2
34,Selangor Journal | Covid-19: Stricter requirement to enter Labuan beginning today https://selangorjournal.my/2021/01/covid-19-stricter-requirement-to-enter-labuan-beginning-today/?utm_source=dlvr.it&utm_medium=twitterâ€¦,0
35,"The decision was based on a risk assessment by MOH which found #COVID-19 cases were still occurring nationwide with high rates of infection. PKPP extends from today to March 31, 2021 - Ismail Sabri National News Organization of Malaysia, news,am, economy, politics, sports, plan, world, youth bernama.com",1
36,"people who are on vacation to Langkawi. Everyone has been vaccinated against COVID-19. . The doctor is the same as the same, but it is not disposable.",0
37,"stigmatise former Covid-19 patients: HajijiDonâ€™t stigmatise former Covid-19 patients: Hajiji As a former patient himself, the Sabah chief minister has urged others to empathise with those who have been infected thevibes.com",0
38,"from 2020: Always ready to adapt. Covid-19 creates New Norm Business owners who cannot be adapted to New Norms, mostly mat rolls",0
39,"Stop the stigma, steering former patients - Sabah chief minister https://bernama.com/bm/am/news.php?id=1917692â€¦",0
40,"Replying to @RahImIJmldnnanti if COVID-19 is already subsided, you can come visit yes, lonely to the child if you want to visit now,",0
41,"not be embarrassed to reprimand those who do not wear facial blindness. If we don't take care of us, who else? Together disconnect the COVID-19 chain. @MyHEALTHKKM #PKPB #KitaTeguhKitaMenang #KomunikasiKita #PsaCOVID19RTM",4
42,Selangor Journal | WHO emergency Covid-19 vaccine listing aims to lift access in poor countries https://selangorjournal.my/2021/01/who-emergency-covid-19-vaccine-listing-aims-to-lift-access-in-poor-countries/?utm_source=dlvr.it&utm_medium=twitterâ€¦,0
43,"Stop stigma against ex-Covid-19 patients, says Sabah CMStop stigma against ex-Covid-19 patients, says Sabah CM | The Malaysian Insight
Hajiji Noor, himself a former patient, says they need others' support to fully recover.
themalaysianinsight.com",0
44,"Doctors tending COVID-19 patients held one minute of silence for the passing of a deadly year.Subdued Brazil New Year celebrations met with silence in COVID-19 ward
SAO PAULO (Reuters) - Brazilians saw in 2021 with fireworks under unusual social distancing measures, while in a hospital intensive care ward outside Sao Paulo, doctors tending COVID-19 patients held...
thestar.com.my",0
45,"New year Happy New year 2021 

Go covid 19+20",0
46,"RT myedgeprop: Malaysia ends 2020 with a new record of 2,525 #Covid19 cases, about half from #Selangor #myedgeprop  https://buff.ly/3rFu4D7",3
47,"RT myedgeprop: FLASH: Malaysia posts record high new #Covid19 cases totalling 2,525 including 1,205 in Selangor; eight deaths reported #myedgeprop",2
48,"RT myedgeprop: King, Queen pray for Malaysia's recovery from #Covid19 in 2021 #NewYeargreeting #myedgeprop https://buff.ly/386oy4V",3
49,RT myedgeprop: #SOCSO urges employers to send foreign workers immediately for #Covid19 screening #myedgeprop  https://buff.ly/382Qrut,3
50,"RT myedgeprop: Battle against #Covid19 not over, says #NoorHisham #myedgeprop  https://buff.ly/3hCxqCf",3
51,Irfan positve COVID-19 | Berita Harian https://bharian.com.my/amp/sukan/olahraga/2021/01/770980/irfan-positif-covid-19?__twitter_impression=trueâ€¦,0
52,"Ramal Plural Vanishes From The Face of the Earth This Year Plural COVID-19 Filing From The Face of the Earth This Year To date over 83 million positive Covid-19 cases have been reported worldwide with nearly 2 million deaths reported. It's a very big and scary figure, it's not only... lobakmerah.com",0
53,"Day one. We went through 2020 which was full of custody. Furthermore, many covid-19 educator situations limit movement and relationships. But Allah tests only for His servants who can afford it, then with Allah we apply for 2021",0
54,"#PENDAPAT #Covid19: We have yet to win, the new year 2021 is full of https://selangorkini.my/2021/01/covid-19-kita-masih-belum-menang-tahun-baharu-2021-penuh-cabaran/?utm_source=dlvr.it&utm_medium=twitterâ€¦",2
55,"Not good enough, Malaysians. Fauci &amp; epidemiologists are now saying we need around 85% vaccination to achieve #Covid19 herd immunity. â€œThe transmissible a pathogen, the more people must be immune in order to stop it.â€ https://nytimes.com/2020/12/24/health/herd-immunity-covid-coronavirus.htmlâ€¦Quote Tweet Noor Hisham Abdullah @DGHisham Â· Dec 31, 2020 Thanks to 212,006 Malaysians who participated in the Vaccine Survey: Accept or Reject? It is conducted online from 21 - 28 December 2020. 67% of respondents agreed to receive the COVID-19 vaccine. 17% uncertain & 16% disagree to receive the COVID-19 vaccine.",1
56,"Covid-19: 
@DGHisham
 says vulnerable groups must continue to be protected. MOH will improve the control of non-communicable diseases such as diabetes and high blood pressure through the 
@PekaB40
 programme.

https://malaymail.com/news/malaysia/2021/01/01/covid-19-dr-noor-hisham-says-vulnerable-groups-must-continue-to-be-protecte/1936388â€¦
@KKMPutrajayaCovid-19: Dr Noor Hisham says vulnerable groups must continue to be protected | Malay Mail
KUALA LUMPUR, Jan 1 â€• The Ministry of Health (MoH) hopes that the community will continue to play a role in protecting the vulnerable in the fight against Covid-19 in 2021. Health director-general...
malaymail.com",0
57,"As we begin 2021, test, test, test continues to be the call in addressing #Covid19. 

â€œWe need to do at least 100,000 antigen tests per day for community screening and reserve PCR for symptomatic admissions.â€Quote Tweet
Boo Su-Lyn
@boosulyn
 Â· 7h
Where Is Malaysia Headed With Covid-19? -- Dr Amar-Singh HSS 

Stop putting the entire blame on the public for the failure to control the pandemic. It is time to stop fining and arresting the average citizen for SOP violations - @DrAmarMOH 

https://codeblue.galencentre.org/2021/01/01/where-is-malaysia-headed-with-covid-19-dr-amar-singh-hss/â€¦",1
58,Dr M & LGE will do a better job fighting Covid-19 helming top job in WHO in Geneva? They think PM Muhyiddin is incompetent at it.,0
59,"Replying to @LagaCawan and and @MuhyiddinYassinInisiatif is carried out for a period of one year only, from 1 April 2019 to 31 March 2020. However, with the concern of KTMB, the initiative was extended until December 31, 2020 to ease the living burden of the people affected by the spread of the Covid19 pandemic.",0
60,"Replying to @qwertyqwerta2Inisiatif year is carried out for a period of one year only, from 1 April 2019 to 31 March 2020. However, with the concern of KTMB, the initiative was extended until December 31, 2020 to ease the living burden of the people affected by the spread of the Covid19 pandemic.",0
61,"China approves Sinopharm Covid-19 vaccine for general useChina approves Sinopharm Covid-19 vaccine for general use
Rollout to begin â€˜soonâ€™ but about a million have already received injection under emergency approvals
theguardian.com",0
62,"disk throw, Muhammad Irfan Shamsuddin became the country's second certified positive COVID-19 athlete",0
63,"Selangor Journal | Go for free Covid-19 screening, MB tells Klang residents https://selangorjournal.my/2021/01/go-for-free-covid-19-screening-mb-tells-klang-residents/?utm_source=dlvr.it&utm_medium=twitterâ€¦",0
64,"See further discussion on COVID-19 VACCINE: MEDICAL GUIDELINES with Directors, Disease Control Division, Ministry of Health Malaysia, YBhg Datuk Dr. Norhayati directly at #BicaraNaratif at 9.00pm on TV1 | http://rtmklik.rtm.gov.my | #RTMKlik",2
65,"WILL THERE EVEN BE A MALAYSIA LEFT - AT THE RATE INCOMPETENT MUHYIDDIN & CO ARE BUNGLING COVID-19 - EVEN AS CONVICTED NAJIB, THE MAN WITH THE MOST SELF-INTERESTS, URGES UMNO DELEGATES TO SPEAK UP ON 'FUTURE DIRECTION' : SAD TO SAY, IT'S NO LONGER ABOUT 'WILL THERE EVEN BE A MALAYSIA LEFT - AT THE RATE INCOMPETENT MUHYIDDIN & CO ARE BUNGLING COVID-19 -...
Where is Malaysia headed with Covid-19? This past year has been an emotional, financial and medical â€œroller-coaster rideâ€ for all in Malaysia. 2020 has brought much anguish, despair and grief to...
malaysia-chronicle.com",0
66,"Where is 
 headed with COVID-19?

Good summary of our COVID journey thus far. While there've been successes, there's also been mis-steps, blind spots, incoordination & lack of strategic planning. 
Good time to review & take stock as we move into 2021.Where is Malaysia headed with Covid-19?
Changes in outlook and behaviour needed for the country to have a hopeful new year.
freemalaysiatoday.com",0
67,"Covid-19: MOH hopes vulnerable people continue to be protected â€"" Dr Noor Hisham https://selangorkini.my/2021/01/covid-19-kkm-harap-golongan-rentan-terus-dilindungi-dr-noor-hisham/â€¦",0
68,"#NormaBaharu
#COVID19
#coronavirus
#KLCeria
#CMSWPKL",5
69,Employees and employers play an important role in casting COVID-19 infection. Here's how close contact case management is 1 &amp; 2 as well as the role of employers in stemming the spread of COVID-19 infection in the workplace. #JanganLekaDanAlpa #KitaJagaKita #KitaMestiMenang,3
70,"Yesterday, for the first time since 63 years, the whole country is quiet, quiet. There is a hidden wisdom behind #COVID19. #MeaninglessRambling",2
71,"Covid-19 Vaccination Covid-19 Vaccine - Najiha Online The Covid-19 vaccine will be provided free of charge to Malaysians while foreigners will be charged by the Ministry of Health Malaysia (MOH), according to Tan Sri Muhyiddin. najihaonline.info",0
72,"Soccer-Chelsea confirm 32.5 million pound profit despite COVID-19 hit on revenue
https://thestar.com.my/sport/football/2021/01/01/soccer-chelsea-confirm-325-million-pound-profit-despite-covid-19-hit-on-revenueâ€¦Soccer-Chelsea confirm 32.5 million pound profit despite COVID-19 hit on revenue
(Reuters) - Chelsea recorded a profit of 32.5 million pounds ($44.44 million) in the last financial year despite the economic impact of the COVID-19 pandemic, the Premier League club said.
thestar.com.my",0
73,"It was a subdued New Yearâ€™s Eve for the country as Malaysians continue to hope and wait for the vaccine to end their year of Covid-19 woes.A muted New Yearâ€™s countdown
PETALING JAYA: It was a subdued New Yearâ€™s Eve for the country as Malaysians continue to hope and wait for the vaccine to end their year of Covid-19 woes.
thestar.com.my",0
74,"Malaysia reported a record high 2,525 Covid-19 cases on the last day of 2020.2,525 infections reported
PETALING JAYA: Malaysia reported a record high 2,525 Covid-19 cases on the last day of 2020, bringing the total number of cases in the country to 113,010.
thestar.com.my",0
75,"Five years ago, probably the worst day of my life, but everything happens for a reason.Thank god everything that i have achieved. 2020 has been great despite covid 19, manage to finish my studies and secured a permanent job. Hopefully 2021 will be great year to achieve more.",0
76,"As usual, companies are more interested in making profits than making sure the people feel safe. @airasia full flight seats before Covid-19 times already had very close passengers to each other. Time Covid-19 no new SOPs to? ZERO social distancing.",0
77,Highlights 2020: #Covid19 changed the world https://selangorkini.my/2021/01/sorotan-2020-covid-19-ubah-ragam-dunia/?utm_source=dlvr.it&utm_medium=twitterâ€¦,1
78,"Replying to 
@RepMaxineWaters
 and 
@iamyuneekTo all those who lost a family member, relative or friend because of Covid-19, my deepest sympathies. You are not alone, we are here with you. We shall stand up in the face of adversity and regain our confidence, strength and move onwards to a new beginning.",0
79,"Replying to 
@netraKL
 and 
@Dr_ASinghRAs well as the hundreds, (perhaps more) who have recovered from COVID-19 but who are still struggling with some of its devastating after effects. I pray they (& their families) will be resolute with their rehabilitation & be granted a full recovery this new year.",0
80,PM'S SPECIAL MESSAGE IN CONJUNCTION WITH NEW YEAR 2021: FREE #COVID19 FOR THE PEOPLE @MKNJPM #PKPB #KitaTeguhKitaMenang #KomunikasiKita #PsaCOVID19RTM,5
81,"Hopefully this new year gives us all the #COVID19 #KoronavirusKes Daily Positive Offices Recorded On The Last Day of 2020 Uish, hopefully 2021 becoming a year that gives us hope bm.syok.my",2
82,"awarding of #COVID19 in the country is expected to begin fluctile this February. Priority to staff at the forefront, followed by high risk groups (such as senior citizens and chronic patients) and the general public. This vaccine is free for Malaysians.",1
83,"Wishing everyone a Very Happy, Prosperous and Covid-19 free New Year 2021.",0
84,"""Happy New Year 2021. Wish you all the best for upcoming year & let us all hope we beat Covid-19."" #happynewyear2021",1
85,Klang record highest #Covid19 three consecutive https://selangorkini.my/2021/01/klang-rekod-kes-covid-19-tertinggi-tiga-hari-berturut/?utm_source=dlvr.it&utm_medium=twitterâ days in ¦,1
86,"After a forgettable 2020 no thanks to #Covid19, the economic downturn and political instability, Malaysians are hoping for a better and brighter 2021 while being mindful that the fight against the coronavirus is far from over. https://twentytwo13.my/issues/malaysians-hope-to-emerge-stronger-and-freer-after-the-darkness-of-2020/â€¦
#Hello2021 #HappyNewYear2021Malaysians hope to emerge stronger and freer after the darkness of 2020 - Twentytwo13
After a forgettable 2020 no thanks to Covid-19, the economic downturn and political instability, Malaysians are hoping for a better and brighter 2021 while being mindful that the fight against the...
twentytwo13.my",3
87,"Macron pledges no unjustifiable delays in Covid-19 jabsMacron pledges no unjustifiable delays in Covid-19 jabs
Criticism grows over slow pace of France's inoculation campaign
thevibes.com",0
88,latest status in the country. Record the highest case figures. #onenews #covid19 https://instagram.com/p/CJe-yLchODZ/?igshid=if3yqrizoafeâ€¦,2
89,"#Repost 
@onenewsonline
Breakdown of new cases of Covid-19 infection",1
90,"the first time that contagious clusters involve prisons or operating brackuring centres @KDNPUTRAJAYA - in Kedah, Lahad Datu.. Apply @dhzhamzah concentration evades #COVID19 such a recriverse scratch. this top priority, bkn work2 politics for @MuhyiddinYassin #KitaJagaKitaQuote Tweet VoiceTV @suara_tv Â· Dec 30, 2020 â€œ Increase in cases in Johor due to prison-related clusters namely Choh Wall Cluster which reported 374 cases,"" '1,870 New Covid-19 Infections, Johor Record Highest Daily Case' https://suara.tv/30/12/2020/1870-jangkitan-baru-covid-19-johor-catat-kes-harian-tertinggi/â€¦ via @suara_tv",2
91,most frequently used words due to Covid-19 https://malaysianow.com/berita/2020/12/31/5-perkataan-paling-kerap-diguna-disebabkan-covid-19/â€¦ via @MNowNews5 most frequently used words due to Covid-19 2020 hears us with frequently mentioned terms throughout the year so that it becomes part of the daily conversations of the public. malaysianow.com,0
92,If Org Tu Healthy is not de Any Disease. But Because He's Tired.. He could be infected with Covid19 Gurb.. Oxygen Drop coat.,0
93,"Covid-19: vulnerable groups must continue to be protected â€” Dr Noor HishamCovid-19: vulnerable groups must continue to be protected â€” Dr Noor Hisham
KUALA LUMPUR: The Ministry of Health (MoH) hopes that the community will continue to play a role in protecting the vulnerable in the fight against Cov...
thesundaily.my",0
94,"government priorities in 2021, the country's recovery drive post-COVID-19 #onenewsLima government priorities in 2021, the country's recovery drive post-COVID-19 - OneNews The Prime Minister outlined five government priorities in 2021 in an effort to revive the post-COVID-19 country. Clearly Tan Sri Muhyiddin Yassin last night, first improving health... onenews.my",1
95,"[News] PM Lee: Economically Singapore begins to see signs of stabilisation amid COVID-19 
@leehsienloong
https://bernama.com/en/business/news.php?id=1917498#.X-5wiKhiQJI.twitterâ€¦Quote Tweet
leehsienloong
@leehsienloong
 Â· 20h
#HappyNewYear everyone! I hope 2021 will bring better times, but letâ€™s stay vigilant, and be ready for surprises. Whateverâ€™s in store in the year ahead, we can look forward with confidence and hope. â€“ LHL
0:41
15.8K views",1
96,to @zukiAli_Terima to all civil servants especially the frontliners of KKM PDRM ATM. Determination of efforts against COVID19 &amp; CORRUPTION.,0
97,"Imperial College London: The new COVID-19 (B117) variant is > transmissible than other variants. Affecting a greater proportion of those < 20s.
It has transmission advantage of 0.4-0.7 in reproduction no. compared to current strain.
More reason to 
 SOP!New COVID-19 variant growing rapidly in England | Imperial News | Imperial College London
NEW COVID-19 STRAIN - The new SARS-CoV-2 variant is growing rapidly, is more transmissible than other variants, and affecting a greater proportion of under 20s.
imperial.ac.uk",0
98,STATISTICS OF COVID-19 until 31 December 2020. Together we stem the spread of COVID-19 by following the advice and directions of MKN and MOH. Take care of the alignment and reduce face-to-face interactions. #DOSM #Banci2020 #MenghitungMalaysia #MyCensus2020 #KPDOSM,5
99,"Happy New Year 
 

How i miss Life before COVID 19
#newyear #HappyNewYear2021 
#kualalumpur #malaysia",4
100,No new year celebrations in most states have http://dlvr.it/RphlgS,0
101,"Fake Covid-19 result scam
https://thestar.com.my/news/nation/2021/01/01/fake-covid-19-result-scamâ€¦Fake Covid-19 result scam
JOHOR BARU: As the Covid-19 spotlight is now on foreign workers nationwide, some foreigners have resorted to buying fake negative Covid-19 swab test results to allow them to work.
thestar.com.my",0
102,"Ipoh folk hopeful of a better year ahead, free of Covid-19
https://thestar.com.my/news/nation/2021/01/01/ipoh-folk-hopeful-of-a-better-year-ahead-free-of-covid-19â€¦Ipoh folk hopeful of a better year ahead, free of Covid-19
IPOH: A country and world free of Covid-19 was on top of everyoneâ€™s wish list for the new year.
thestar.com.my",0
103,Year with Covid 19 Thank you to our family's Covid kpd contributing. Especially the government of sbb still does not ape2 actions. With important economic grounds. While life falls no brp. And they are not afraid of the SOP.,0
104,"@zulsulong @zunarkartunis @drwanazizah @DrDzul @n_izzah @khalidsamad @MSabu_Official @mujahidrawa @hjhusammusa @syahredzan Senior Officer of MCA Positive Service Centre Covid-19 â€"" Malaysia DatelinePegawai senior MCA Service Centre positive Covid-19 The MCA Headquarters Service and Complaints Centre was closed after a senior official confirmed positive Covid-19. According to the MCA Headquarters statement, after obtaining the information, the office... malaysiadateline.com",0
105,"approximately 5.40 a.m. receiving fumes. The brothers disappeared even though they were close to their sbb covid19. Al Fatihah Pak Busu... hopefully, I, my family, meaning and son2 are strong in facing this test... 2020 missing father, 2021 lost brother's uncle. Adk pd dad him..",0
106,"INTERACTIVE: Here's how Covid-19 changed the movement of people in Malaysia
https://thestar.com.my/news/nation/2021/01/01/interactive-heres-how-covid-19-changed-the-movement-of-people-in-malaysiaâ€¦INTERACTIVE: Hereâ€™s how Covid-19 changed the movement of people in Malaysia
Ever since the start of the conditional movement control order in May 2020, the amount of time Malaysians spent at home has mostly been on a downward trend even as Covid-19 cases soared in the past...
thestar.com.my",0
107,"this new year, hopefully each of us rises with a new spirit for the challenges ahead and hopefully the Covid-19 outbreak is subsidising. We from the Warrior Fund Campaign wish you a Happy New Year 2021 to all Malaysians. #SayangiMalaysiaku #tahunbaru2021",2
108,"#Covid19 numbers: 31 December 2020
- 2525 new cases (2,512 local transmissions and 13 imported cases)
- 1481 recoveries
- 23,598 active cases
- 8 death (471 in total in Malaysia since the pandemic began)
- 131 patients in ICU including 60who are intubated
#thevibes #FromEverySide",3
109,"My favourite 10 ""mind numbing"" research repositories on COVID-19;

10. 
@thelonevirologi
9. 
@ScottGottliebMD
8.  
@hendrikstreeck
7. 
@nextstrain
 
6. 
@neil_ferguson
 
5. 
@DrMikeRyan
4. 
@TheLancet
 
3. 
@CEPIvaccines
 
2. 
@CT_Bergstrom
 
1. 
@__ice9",0
110,"New year everyone...! New year's moga is better than last year. Hopefully, simplify all your dealings. May all of us get healthy and Prosperous.. May we win the end of covid 19. https://instagram.com/p/CJeGRDYhV5T/?igshid=1fk0hwc6kpsltâ€¦",0
111,am sure Allah will definitely be for greater sustenance and blessings. He Is All-Knowing of everything. What hope is 2021? COVID-19 DISAPPEARS AND DON'T APPEAR TO MAKE COMEBACK,0
112,Covid-19 is indeed the right test.. But there are people assuming this test is burdensome &amp; troublesome and there are people who are assuming it is to increase faith in order to find God back. May all of us redha and can face it strongly.,0
113,"The brother is ready to speak near the bah ""Nothing bang. Things are just a short time away. Be patient, soon to be free of us from covid-19 ni"" By the way, he is an Indian. He knows the heart and feelings. Want to make a story, there's a neighbour I'm this side (close contact) too",0
114,"In my worry2, apparently they are also worried about the ready family remind do not return the village. Before this I do not understand why I reached the verse ""covid-19 patients bkn criminals"" when I got to understand. Some understand tu ok je. he says ""nothing, patiently, this is all testing. We 1 park understand""",0
115,"PUN BKN CRIMINALS' CLOSE CONTACT Just want a story to luah kt here. Want to make ass bitter memories to sweet? Okay, early in 12 days, we were 1 family surprised by the news we certified positive covid-19. Dpt from the working tmpt he kt mill.",0
116,"My top 10 ""go to"" institutions/administrations for news on COVID-19;

10. 
@Worldometers
;
9. 
@CDCgov
;
8. 
@KKMPutrajaya
;
7. 
@WHO
;
6. 
@govsingapore
;
5. 
@washingtonpost
;
4. 
@JohnsHopkinsSPH
;
3. 
@FinancialTimes
;
2. 
@TheAtlantic
 
1. 
@MoHFW_INDIA",0
117,streamates SOP opening fifth phase of the sports and recreation sector https://bernama.com/bm/sukan/news.php?id=1917589â€¦ @KBSMalaysia #COVID19 #PKP @MKNJPM,2
118,"Replying to @redzuanNewsMPB and and @anthraxxxx@MKNJPM , we know it's difficult balancing on needs to mitigate Covid19 spreads and some semblance of a normal life, but but surely travel into a red zone is not advisable for people from a ""safe"" zone.",0
119,"many 2020 years most expected of all people with the present of covid 19 disease, plus the disappearance of a father who did not replace it.. 2021 stepped into an 8-year single.. new year beginnings and new roads..",0
120,Trooper Star Wars holds a mini banner 'Goodbye COVID-19; Welcome 2021 at the New Year's Threshold Celebration at The Sarawak Unity Stadium today. #TahunBaharu2021,1
