UserName,Handle,Timestamp,text,Type
RTM Malaysia,@RTM_Malaysia,2021-01-01T10:41:51.000Z,"The latest Covid-19 situation as at 1 January 2021. New cases: 2,068 Active cases: 23,433 Cured: 91,171 ( 2,230 new cured cases) Overall cases: 115,078 Death: 474 (3 new death cases reported) @KKMPutrajaya","News, Malaysia"
The Star,@staronline,2021-01-01T10:41:08.000Z,"Covid-19: 2,068 new cases, three fatalities bring death toll to 474
https://thestar.com.my/news/nation/2021/01/01/covid-19-2068-new-cases-three-fatalities-bring-death-toll-to-474â€¦Covid-19: 2,068 new cases, three fatalities bring death toll to 474
PETALING JAYA: Malaysia recorded 2,068 more Covid-19 infections on New Year's Day on Friday (Jan 1), taking the country total confirmed cases to 115,078.
thestar.com.my","News, Malaysia"
The Long Tweet,@tanjooilong,2021-01-01T10:38:50.000Z,"3 new Covid-19 clusters in 4 states !!!
@ahkmlog
 @ahpooki
 @aidamohdhanif
 @ayg16
 @cheong_desmond
 @devilishram
 @geanalyst
 @imfsea_aruna
 @lowelsielow
 @mary_soh
 @mikichoo
 @mtusharan
 @nonvitaltooth
 @normsaid
 @prabdullah
 @skumar176
 @yvonneapy
 @zulmah56
 @zuln093 new Covid-19 clusters in 4 states
They are the Rawa Akasia, Jalan Perindustrian and Rantau Semarak clusters.
freemalaysiatoday.com",Cluster
BERNAMA Radio,@bernamaradio,2021-01-01T10:37:23.000Z,#COVID19: Three new clusters detected and four existing clusters declared expire today - KP Health,Cluster
The Long Tweet,@tanjooilong,2021-01-01T10:35:44.000Z,"2,068 Covid-19 cases, 3 deaths !!!
@ahkmlog
 @ahpooki
 @aidamohdhanif
 @ayg16
 @cheong_desmond
 @devilishram
 @geanalyst
 @imfsea_aruna
 @lowelsielow
 @mary_soh
 @mikichoo
 @mtusharan
 @nonvitaltooth
 @normsaid
 @prabdullah
 @skumar176
 @yvonneapy
 @zulmah56
 @zuln092,068 Covid-19 cases, 3 deaths
A total of 2,230 patients recovered.
freemalaysiatoday.com","News, Malaysia"
BERNAMA,@bernamadotcom,2021-01-01T10:28:43.000Z,"#COVID-19: 2,068 new cases and three deaths reported today - KP Health @DGHisham",Deaths
BERNAMA,@bernamadotcom,2021-01-01T10:26:48.000Z,#COVID-19: 126 positive Cases treated in ICU with 54 Cases requiring breathing aids - KP Health @DGHisham,Cases
BERNAMA,@bernamadotcom,2021-01-01T10:26:01.000Z,"#COVID-19: 2,230 Cases cured, cumulative number of Cases cured 91,171 Cases - KP Health @DGHisham",Cases
MAJLIS KESELAMATAN NEGARA JABATAN PERDANA MENTERI,,2021-01-01T10:25:01.000Z,"The latest situation on January 1, 2021 #COVID19 in Malaysia : A total of 2,068 new Cases made a total of 115,078 Cases. https://facebook.com/1452870318149203/posts/3042921695810716/â€¦",Cases
Lembaga Pertubuhan Peladang,@LPP_MALAYSIA,2021-01-01T10:23:21.000Z,"Latest Status #COVID19, 1 January 2021 Cured case=2,230 Total cured cases=91,171 cases New case positive=2,068 cases (2,066 local, 2 imports) Total positive=115,078 cases Death case=3 Total death cases=474 cases Cases treated in ICU=126 cases Respiratory Help=54 casesQuote Tweet KKMalaysia @KKMPutrajaya Â· 2h Latest Status #COVID19, 1 January 2021 Cured case=2,230 Total cured cases=91,171 cases New case positive=2,068 cases (2,066 local, 2 imports) Total positive=115,078 cases Death case=3 Total death cases=474 cases Cases treated in ICU=126 cases Respiratory Help=54 cases","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T09:41:03.000Z,Selangor Journal | Covid-19: Stricter requirement to enter Labuan beginning today https://selangorjournal.my/2021/01/covid-19-stricter-requirement-to-enter-labuan-beginning-today/?utm_source=dlvr.it&utm_medium=twitterâ€¦,"News, Malaysia"
BERNAMA,@bernamadotcom,2021-01-01T09:39:30.000Z,"The decision was based on a risk assessment by MOH which found #COVID-19 cases were still occurring nationwide with high rates of infection. PKPP extends from today to March 31, 2021 - Ismail Sabri National News Organization of Malaysia, news,am, economy, politics, sports, plan, world, youth bernama.com","News, Malaysia"
zawirrahim,@zawirrahim,2021-01-01T09:27:35.000Z,"people who are on vacation to Langkawi. Everyone has been vaccinated against COVID-19. . The doctor is the same as the same, but it is not disposable.","News, Malaysia"
TheVibes.com,@thevibesnews,2021-01-01T09:26:32.000Z,"stigmatise former Covid-19 patients: HajijiDonâ€™t stigmatise former Covid-19 patients: Hajiji As a former patient himself, the Sabah chief minister has urged others to empathise with those who have been infected thevibes.com",Cases
Dr Fadhli,@drfadhliadnan,2021-01-01T09:25:45.000Z,"from 2020: Always ready to adapt. Covid-19 creates New Norm Business owners who cannot be adapted to New Norms, mostly mat rolls","News, Malaysia"
BERNAMA,@bernamadotcom,2021-01-01T09:25:17.000Z,"Stop the stigma, steering former patients - Sabah chief minister https://bernama.com/bm/am/news.php?id=1917692â€¦","News, Malaysia"
syahrul nizam,@syahniz01,2021-01-01T09:24:16.000Z,"Replying to @RahImIJmldnnanti if COVID-19 is already subsided, you can come visit yes, lonely to the child if you want to visit now,","News, Malaysia"
RTM Malaysia,@RTM_Malaysia,2021-01-01T09:15:00.000Z,"not be embarrassed to reprimand those who do not wear facial blindness. If we don't take care of us, who else? Together disconnect the COVID-19 chain. @MyHEALTHKKM #PKPB #KitaTeguhKitaMenang #KomunikasiKita #PsaCOVID19RTM","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T09:08:32.000Z,Selangor Journal | WHO emergency Covid-19 vaccine listing aims to lift access in poor countries https://selangorjournal.my/2021/01/who-emergency-covid-19-vaccine-listing-aims-to-lift-access-in-poor-countries/?utm_source=dlvr.it&utm_medium=twitterâ€¦,Vaccine
TheMalaysianInsight,@msianinsight,2021-01-01T08:55:32.000Z,"Stop stigma against ex-Covid-19 patients, says Sabah CMStop stigma against ex-Covid-19 patients, says Sabah CM | The Malaysian Insight
Hajiji Noor, himself a former patient, says they need others' support to fully recover.
themalaysianinsight.com","News, Malaysia"
The Star,@staronline,2021-01-01T08:20:02.000Z,"Doctors tending COVID-19 patients held one minute of silence for the passing of a deadly year.Subdued Brazil New Year celebrations met with silence in COVID-19 ward
SAO PAULO (Reuters) - Brazilians saw in 2021 with fireworks under unusual social distancing measures, while in a hospital intensive care ward outside Sao Paulo, doctors tending COVID-19 patients held...
thestar.com.my",Global
Abdul Ghaffar Dinni,@DinniG,2021-01-01T08:17:08.000Z,"New year Happy New year 2021 

Go covid 19+20","News, Malaysia"
winston&co.,@winstonetco,2021-01-01T08:11:45.000Z,"RT myedgeprop: Malaysia ends 2020 with a new record of 2,525 #Covid19 Cases, about half from #Selangor #myedgeprop  https://buff.ly/3rFu4D7",Cases
winston&co.,@winstonetco,2021-01-01T08:11:44.000Z,"RT myedgeprop: FLASH: Malaysia posts record high new #Covid19 cases totalling 2,525 including 1,205 in Selangor; eight deaths reported #myedgeprop","News, Malaysia"
winston&co.,@winstonetco,2021-01-01T08:11:42.000Z,"RT myedgeprop: King, Queen pray for Malaysia's recovery from #Covid19 in 2021 #NewYeargreeting #myedgeprop https://buff.ly/386oy4V","News, Malaysia"
winston&co.,@winstonetco,2021-01-01T08:11:41.000Z,RT myedgeprop: #SOCSO urges employers to send foreign workers immediately for #Covid19 screening #myedgeprop  https://buff.ly/382Qrut,"News, Malaysia"
winston&co.,@winstonetco,2021-01-01T08:11:41.000Z,"RT myedgeprop: Battle against #Covid19 not over, says #NoorHisham #myedgeprop  https://buff.ly/3hCxqCf","News, Malaysia"
#TeamMALAYSIA,@AtletMalaysia,2021-01-01T07:14:18.000Z,Irfan positve COVID-19 | Berita Harian https://bharian.com.my/amp/sukan/olahraga/2021/01/770980/irfan-positif-covid-19?__twitter_impression=trueâ€¦,Cases
Lobak Merah,@LobakMerahMY,2021-01-01T07:01:19.000Z,"Ramal Plural Vanishes From The Face of the Earth This Year Plural COVID-19 Filing From The Face of the Earth This Year To date over 83 million positive Covid-19 Cases have been reported worldwide with nearly 2 million deaths reported. It's a very big and scary figure, it's not only... lobakmerah.com",Cases
muhamad azham,@laeAZHAM,2021-01-01T06:56:03.000Z,"Day one. We went through 2020 which was full of custody. Furthermore, many covid-19 educator situations limit movement and relationships. But Allah tests only for His servants who can afford it, then with Allah we apply for 2021","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T06:52:33.000Z,"#PENDAPAT #Covid19: We have yet to win, the new year 2021 is full of https://selangorkini.my/2021/01/covid-19-kita-masih-belum-menang-tahun-baharu-2021-penuh-cabaran/?utm_source=dlvr.it&utm_medium=twitterâ€¦","News, Malaysia"
siewlynwrites,@slwong_writes,2021-01-01T06:52:21.000Z,"Not good enough, Malaysians. Fauci &amp; epidemiologists are now saying we need around 85% vaccination to achieve #Covid19 herd immunity. â€œThe transmissible a pathogen, the more people must be immune in order to stop it.â€ https://nytimes.com/2020/12/24/health/herd-immunity-covid-coronavirus.htmlâ€¦Quote Tweet Noor Hisham Abdullah @DGHisham Â· Dec 31, 2020 Thanks to 212,006 Malaysians who participated in the Vaccine Survey: Accept or Reject? It is conducted online from 21 - 28 December 2020. 67% of respondents agreed to receive the COVID-19 vaccine. 17% uncertain & 16% disagree to receive the COVID-19 vaccine.",Vaccine
Anas Alam Faizli,@aafaizli,2021-01-01T06:46:53.000Z,"Covid-19: 
@DGHisham
 says vulnerable groups must continue to be protected. MOH will improve the control of non-communicable diseases such as diabetes and high blood pressure through the 
@PekaB40
 programme.

https://malaymail.com/news/malaysia/2021/01/01/covid-19-dr-noor-hisham-says-vulnerable-groups-must-continue-to-be-protecte/1936388â€¦
@KKMPutrajayaCovid-19: Dr Noor Hisham says vulnerable groups must continue to be protected | Malay Mail
KUALA LUMPUR, Jan 1 â€• The Ministry of Health (MoH) hopes that the community will continue to play a role in protecting the vulnerable in the fight against Covid-19 in 2021. Health director-general...
malaymail.com","News, Malaysia"
siewlynwrites,@slwong_writes,2021-01-01T06:43:02.000Z,"As we begin 2021, test, test, test continues to be the call in addressing #Covid19. 

â€œWe need to do at least 100,000 antigen tests per day for community screening and reserve PCR for symptomatic admissions.â€Quote Tweet
Boo Su-Lyn
@boosulyn
 Â· 7h
Where Is Malaysia Headed With Covid-19? -- Dr Amar-Singh HSS 

Stop putting the entire blame on the public for the failure to control the pandemic. It is time to stop fining and arresting the average citizen for SOP violations - @DrAmarMOH 

https://codeblue.galencentre.org/2021/01/01/where-is-malaysia-headed-with-covid-19-dr-amar-singh-hss/â€¦","News, Malaysia"
Anthony SB Thanasayan,@wheelchairant,2021-01-01T06:38:31.000Z,Dr M & LGE will do a better job fighting Covid-19 helming top job in WHO in Geneva? They think PM Muhyiddin is incompetent at it.,"News, Malaysia"
KTMB 03 2267 1200,@ktm_berhad,2021-01-01T05:41:37.000Z,"Replying to @LagaCawan and and @MuhyiddinYassinInisiatif is carried out for a period of one year only, from 1 April 2019 to 31 March 2020. However, with the concern of KTMB, the initiative was extended until December 31, 2020 to ease the living burden of the people affected by the spread of the Covid19 pandemic.","News, Malaysia"
KTMB 03 2267 1200,@ktm_berhad,2021-01-01T05:40:45.000Z,"Replying to @qwertyqwerta2Inisiatif year is carried out for a period of one year only, from 1 April 2019 to 31 March 2020. However, with the concern of KTMB, the initiative was extended until December 31, 2020 to ease the living burden of the people affected by the spread of the Covid19 pandemic.","News, Malaysia"
Phar Kim Beng/Mandarin Pan Jin Ming,@JinMingPan2,2021-01-01T05:37:26.000Z,"China approves Sinopharm Covid-19 vaccine for general useChina approves Sinopharm Covid-19 vaccine for general use
Rollout to begin â€˜soonâ€™ but about a million have already received injection under emergency approvals
theguardian.com",Vaccine
BERNAMA Radio,@bernamaradio,2021-01-01T05:33:00.000Z,"disk throw, Muhammad Irfan Shamsuddin became the country's second certified positive COVID-19 athlete","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T05:25:33.000Z,"Selangor Journal | Go for free Covid-19 screening, MB tells Klang residents https://selangorjournal.my/2021/01/go-for-free-covid-19-screening-mb-tells-klang-residents/?utm_source=dlvr.it&utm_medium=twitterâ€¦","News, Malaysia"
RTM Malaysia,@RTM_Malaysia,2021-01-01T05:15:00.000Z,"See further discussion on COVID-19 VACCINE: MEDICAL GUIDELINES with Directors, Disease Control Division, Ministry of Health Malaysia, YBhg Datuk Dr. Norhayati directly at #BicaraNaratif at 9.00pm on TV1 | http://rtmklik.rtm.gov.my | #RTMKlik","News, Malaysia"
Malaysia Chronicle,@MsiaChronicle,2021-01-01T05:13:51.000Z,"WILL THERE EVEN BE A MALAYSIA LEFT - AT THE RATE INCOMPETENT MUHYIDDIN & CO ARE BUNGLING COVID-19 - EVEN AS CONVICTED NAJIB, THE MAN WITH THE MOST SELF-INTERESTS, URGES UMNO DELEGATES TO SPEAK UP ON 'FUTURE DIRECTION' : SAD TO SAY, IT'S NO LONGER ABOUT 'WILL THERE EVEN BE A MALAYSIA LEFT - AT THE RATE INCOMPETENT MUHYIDDIN & CO ARE BUNGLING COVID-19 -...
Where is Malaysia headed with Covid-19? This past year has been an emotional, financial and medical â€œroller-coaster rideâ€ for all in Malaysia. 2020 has brought much anguish, despair and grief to...
malaysia-chronicle.com","News, Malaysia"
Christopher Lee,@chriskc_Lee,2021-01-01T05:09:09.000Z,"Where is 
 headed with COVID-19?

Good summary of our COVID journey thus far. While there've been successes, there's also been mis-steps, blind spots, incoordination & lack of strategic planning. 
Good time to review & take stock as we move into 2021.Where is Malaysia headed with Covid-19?
Changes in outlook and behaviour needed for the country to have a hopeful new year.
freemalaysiatoday.com","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T04:29:56.000Z,"Covid-19: MOH hopes vulnerable people continue to be protected â€"" Dr Noor Hisham https://selangorkini.my/2021/01/covid-19-kkm-harap-golongan-rentan-terus-dilindungi-dr-noor-hisham/â€¦","News, Malaysia"
Jabatan Penerangan WPKL,@JaPenWPKL,2021-01-01T04:28:47.000Z,"#NormaBaharu
#COVID19
#coronavirus
#KLCeria
#CMSWPKL","News, Malaysia"
Jabatan Penerangan WPKL,@JaPenWPKL,2021-01-01T04:28:45.000Z,Employees and employers play an important role in casting COVID-19 infection. Here's how close contact case management is 1 &amp; 2 as well as the role of employers in stemming the spread of COVID-19 infection in the workplace. #JanganLekaDanAlpa #KitaJagaKita #KitaMestiMenang,"News, Malaysia"
The Eugenist,@SayaHesmel,2021-01-01T04:14:48.000Z,"Yesterday, for the first time since 63 years, the whole country is quiet, quiet. There is a hidden wisdom behind #COVID19. #MeaninglessRambling","News, Malaysia"
Najiha Online,@najiha_online,2021-01-01T04:12:42.000Z,"Covid-19 Vaccination Covid-19 Vaccine - Najiha Online The Covid-19 vaccine will be provided free of charge to Malaysians while foreigners will be charged by the Ministry of Health Malaysia (MOH), according to Tan Sri Muhyiddin. najihaonline.info",Vaccine
The Star,@staronline,2021-01-01T04:11:58.000Z,"Soccer-Chelsea confirm 32.5 million pound profit despite COVID-19 hit on revenue
https://thestar.com.my/sport/football/2021/01/01/soccer-chelsea-confirm-325-million-pound-profit-despite-covid-19-hit-on-revenueâ€¦Soccer-Chelsea confirm 32.5 million pound profit despite COVID-19 hit on revenue
(Reuters) - Chelsea recorded a profit of 32.5 million pounds ($44.44 million) in the last financial year despite the economic impact of the COVID-19 pandemic, the Premier League club said.
thestar.com.my",Global
The Star,@staronline,2021-01-01T03:10:57.000Z,"It was a subdued New Yearâ€™s Eve for the country as Malaysians continue to hope and wait for the vaccine to end their year of Covid-19 woes.A muted New Yearâ€™s countdown
PETALING JAYA: It was a subdued New Yearâ€™s Eve for the country as Malaysians continue to hope and wait for the vaccine to end their year of Covid-19 woes.
thestar.com.my","News, Malaysia"
The Star,@staronline,2021-01-01T03:09:28.000Z,"Malaysia reported a record high 2,525 Covid-19 Cases on the last day of 2020.2,525 infections reported
PETALING JAYA: Malaysia reported a record high 2,525 Covid-19 Cases on the last day of 2020, bringing the total number of Cases in the country to 113,010.
thestar.com.my",Cases
ISH,@mdotisham,2021-01-01T03:04:21.000Z,"Five years ago, probably the worst day of my life, but everything happens for a reason.Thank god everything that i have achieved. 2020 has been great despite covid 19, manage to finish my studies and secured a permanent job. Hopefully 2021 will be great year to achieve more.","News, Malaysia"
Joanne Tee,@ennaojt,2021-01-01T02:57:14.000Z,"As usual, companies are more interested in making profits than making sure the people feel safe. @airasia full flight seats before Covid-19 times already had very close passengers to each other. Time Covid-19 no new SOPs to? ZERO social distancing.","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T02:57:03.000Z,Highlights 2020: #Covid19 changed the world https://selangorkini.my/2021/01/sorotan-2020-covid-19-ubah-ragam-dunia/?utm_source=dlvr.it&utm_medium=twitterâ€¦,"News, Malaysia"
Joe Carlos,@jcarlos20200,2021-01-01T02:55:03.000Z,"Replying to 
@RepMaxineWaters
 and 
@iamyuneekTo all those who lost a family member, relative or friend because of Covid-19, my deepest sympathies. You are not alone, we are here with you. We shall stand up in the face of adversity and regain our confidence, strength and move onwards to a new beginning.","News, Malaysia"
Christopher Lee,@chriskc_Lee,2021-01-01T02:49:57.000Z,"Replying to 
@netraKL
 and 
@Dr_ASinghRAs well as the hundreds, (perhaps more) who have recovered from COVID-19 but who are still struggling with some of its devastating after effects. I pray they (& their families) will be resolute with their rehabilitation & be granted a full recovery this new year.","News, Malaysia"
RTM Malaysia,@RTM_Malaysia,2021-01-01T02:45:00.000Z,PM'S SPECIAL MESSAGE IN CONJUNCTION WITH NEW YEAR 2021: FREE #COVID19 FOR THE PEOPLE @MKNJPM #PKPB #KitaTeguhKitaMenang #KomunikasiKita #PsaCOVID19RTM,Vaccine
SYOK,@syoksyoksyok,2021-01-01T02:30:00.000Z,"Hopefully this new year gives us all the #COVID19 #KoronavirusKes Daily Positive Offices Recorded On The Last Day of 2020 Uish, hopefully 2021 becoming a year that gives us hope bm.syok.my",Cases
KKMalaysia,@KKMPutrajaya,2021-01-01T01:51:29.000Z,"awarding of #COVID19 in the country is expected to begin fluctile this February. Priority to staff at the forefront, followed by high risk groups (such as senior citizens and chronic patients) and the general public. This vaccine is free for Malaysians.",Vaccine
Dilip Mutum,@admutum,2021-01-01T01:48:35.000Z,"Wishing everyone a Very Happy, Prosperous and Covid-19 free New Year 2021.","News, Malaysia"
Sathia M. R.,@SathiaMR,2021-01-01T01:44:22.000Z,"""Happy New Year 2021. Wish you all the best for upcoming year & let us all hope we beat Covid-19."" #happynewyear2021","News, Malaysia"
Media Selangor,@Media_Selangor,2021-01-01T01:40:32.000Z,Klang record highest #Covid19 three consecutive https://selangorkini.my/2021/01/klang-rekod-kes-covid-19-tertinggi-tiga-hari-berturut/?utm_source=dlvr.it&utm_medium=twitterâ days in ¦,"News, Malaysia"
Twentytwo13,@Twentytwo13news,2021-01-01T01:35:34.000Z,"After a forgettable 2020 no thanks to #Covid19, the economic downturn and political instability, Malaysians are hoping for a better and brighter 2021 while being mindful that the fight against the coronavirus is far from over. https://twentytwo13.my/issues/malaysians-hope-to-emerge-stronger-and-freer-after-the-darkness-of-2020/â€¦
#Hello2021 #HappyNewYear2021Malaysians hope to emerge stronger and freer after the darkness of 2020 - Twentytwo13
After a forgettable 2020 no thanks to Covid-19, the economic downturn and political instability, Malaysians are hoping for a better and brighter 2021 while being mindful that the fight against the...
twentytwo13.my","News, Malaysia"
TheVibes.com,@thevibesnews,2021-01-01T01:35:02.000Z,"Macron pledges no unjustifiable delays in Covid-19 jabsMacron pledges no unjustifiable delays in Covid-19 jabs
Criticism grows over slow pace of France's inoculation campaign
thevibes.com","News, Malaysia"
TRAXXfm,@traxxfmofficial,2021-01-01T01:33:53.000Z,latest status in the country. Record the highest case figures. #onenews #covid19 https://instagram.com/p/CJe-yLchODZ/?igshid=if3yqrizoafeâ€¦,"News, Malaysia"
TRAXXfm,@traxxfmofficial,2021-01-01T01:32:21.000Z,"#Repost 
@onenewsonline
Breakdown of new Cases of Covid-19 infection",Cases
Akhramsyah MU Sanusi,@AMUBAIDAHS,2021-01-01T01:31:15.000Z,"the first time that contagious clusters involve prisons or operating brackuring centres @KDNPUTRAJAYA - in Kedah, Lahad Datu.. Apply @dhzhamzah concentration evades #COVID19 such a recriverse scratch. this top priority, bkn work2 politics for @MuhyiddinYassin #KitaJagaKitaQuote Tweet VoiceTV @suara_tv Â· Dec 30, 2020 â€œ Increase in cases in Johor due to prison-related clusters namely Choh Wall Cluster which reported 374 cases,"" '1,870 New Covid-19 Infections, Johor Record Highest Daily Case' https://suara.tv/30/12/2020/1870-jangkitan-baru-covid-19-johor-catat-kes-harian-tertinggi/â€¦ via @suara_tv","News, Malaysia"
